customer.id,store,sale.date,tran.number,sku,category,qty,unit.cost,ext.cost,unit.original.retail,sale.amount,customer.state,age,birthday.month,years.as.member,in.store.exp,selection
C40320,11,2023-09-10,76115,2958815,Footwear,1,33.09,33.09,144.0,90.72,MA,36,10,0,Blank (missing data),Blank (missing data)
C40320,12,2023-12-09,93677,2958690,Men's Apparel,1,20.93,20.93,101.5,36.73,MA,36,10,0,Blank (missing data),Blank (missing data)
C41050,12,2023-02-26,11536,2899812,Childrens,1,7.76,7.76,40.5,8.98,MA,73,2,2,Blank (missing data),Blank (missing data)
C41050,12,2023-08-21,87104,2930523,Footwear,1,32.07,32.07,144.0,86.4,MA,73,2,2,Blank (missing data),Blank (missing data)
C41050,12,2023-08-21,87104,2942339,Footwear,1,33.24,33.24,144.0,75.66,MA,73,2,2,Blank (missing data),Blank (missing data)
C41025,12,2023-02-26,11537,2892835,Accessories,1,5.31,5.31,38.0,7.98,MA,28,3,2,Blank (missing data),Blank (missing data)
C41025,12,2023-09-22,88659,2942263,Women's Apparel,1,23.6,23.6,99.0,28.12,MA,28,3,2,Blank (missing data),Blank (missing data)
C41539,11,2023-01-02,23371,2901368,Women's Apparel,1,26.03,26.03,108.0,30.33,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C41539,11,2023-05-01,69370,2932435,Women's Apparel,1,23.29,23.29,99.0,75.33,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C41539,11,2023-05-01,69370,2929477,Women's Apparel,1,25.07,25.07,108.0,82.17,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C41539,11,2023-11-24,79353,2960149,Footwear,1,33.99,33.99,144.0,72.0,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C41539,11,2023-11-24,79353,2966701,Women's Apparel,1,24.58,24.58,108.0,54.0,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C41539,12,2023-08-06,86273,2943766,Men's Apparel,1,19.13,19.13,94.5,66.5,MA,24,6,3,5 Very Satisfied,4 Somewhat Satisfied
C42334,11,2023-02-11,23579,2910457,Footwear,1,33.39,33.39,144.0,15.0,CA,73,5,0,Blank (missing data),Blank (missing data)
C42334,13,2023-05-05,69326,2934328,Men's Apparel,1,25.69,25.69,101.5,101.5,CA,73,5,0,Blank (missing data),Blank (missing data)
C42334,12,2023-04-23,79635,2929436,Childrens,1,9.61,9.61,43.5,35.46,CA,73,5,0,Blank (missing data),Blank (missing data)
C42334,12,2023-04-23,79635,2943634,Women's Apparel,1,22.5,22.5,99.0,76.77,CA,73,5,0,Blank (missing data),Blank (missing data)
C41549,11,2023-02-11,23580,2910456,Footwear,1,33.39,33.39,144.0,13.5,MA,32,11,0,Blank (missing data),Blank (missing data)
C41549,12,2023-12-16,40233,2971015,Gifts & Lifestyle,1,12.61,12.61,54.0,32.4,MA,32,11,0,Blank (missing data),Blank (missing data)
C41549,11,2023-10-27,78206,2958727,Accessories,1,11.77,11.77,48.0,34.19,MA,32,11,0,Blank (missing data),Blank (missing data)
C41549,12,2023-03-30,78206,2937992,Footwear,1,33.54,33.54,144.0,105.0,MA,32,11,0,Blank (missing data),Blank (missing data)
C41549,11,2023-10-27,78206,2964915,Footwear,1,44.04,44.04,174.0,123.96,MA,32,11,0,Blank (missing data),Blank (missing data)
C42110,11,2023-02-11,23586,2899830,Childrens,1,8.1,8.1,40.5,3.75,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,11,2023-02-11,23586,2912056,Gifts & Lifestyle,1,10.5,10.5,48.0,5.0,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,14,2023-06-22,53004,2948107,Footwear,1,39.0,39.0,144.0,122.4,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,14,2023-06-22,53004,2929480,Women's Apparel,1,24.39,24.39,108.0,28.1,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,14,2023-06-22,53004,2929887,Men's Apparel,1,19.3,19.3,84.0,21.86,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,14,2023-06-22,53004,2936440,Women's Apparel,1,23.53,23.53,108.0,91.8,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,14,2023-06-22,53004,2943710,Men's Apparel,1,20.41,20.41,94.5,30.61,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,12,2023-03-12,77179,2928058,Women's Apparel,1,27.92,27.92,121.5,67.5,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,12,2023-03-15,77371,2927268,Footwear,1,36.93,36.93,144.0,109.56,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,12,2023-03-15,77371,2932459,Footwear,1,31.02,31.02,132.0,100.44,MA,56,2,1,Blank (missing data),Blank (missing data)
C42110,11,2023-10-05,77371,2960148,Footwear,1,33.99,33.99,144.0,57.6,MA,56,2,1,Blank (missing data),Blank (missing data)
C41252,11,2023-02-24,23653,2929466,Women's Apparel,1,23.71,23.71,108.0,50.62,MA,22,5,3,Blank (missing data),Blank (missing data)
C41252,11,2023-05-16,70173,2934319,Men's Apparel,1,23.96,23.96,101.5,91.35,MA,22,5,3,Blank (missing data),Blank (missing data)
C41252,12,2023-03-28,78110,2932436,Women's Apparel,1,23.29,23.29,99.0,76.77,MA,22,5,3,Blank (missing data),Blank (missing data)
C41252,12,2023-12-24,96014,2960133,Women's Apparel,1,28.6,28.6,108.0,33.7,MA,22,5,3,Blank (missing data),Blank (missing data)
C41252,12,2023-12-24,96014,2960033,Women's Apparel,1,32.58,32.58,135.0,44.95,MA,22,5,3,Blank (missing data),Blank (missing data)
C40111,11,2023-02-25,23666,2929795,Men's Apparel,1,20.95,20.95,94.5,43.75,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,11,2023-02-25,23666,2929472,Women's Apparel,1,25.07,25.07,108.0,56.25,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,11,2023-02-25,23666,2929426,Childrens,1,9.61,9.61,43.5,18.75,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,14,2023-12-21,59397,2972365,Footwear,2,34.56,69.12,144.0,150.0,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,12,2023-04-19,79398,2930310,Men's Apparel,1,20.16,20.16,77.0,77.0,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,13,2023-12-15,79398,2972284,Men's Apparel,1,19.11,19.11,84.0,45.36,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,12,2023-06-24,83599,2936439,Women's Apparel,1,23.43,23.43,108.0,89.23,MA,30,8,4,Blank (missing data),Blank (missing data)
C40111,12,2023-06-24,83601,2947557,Childrens,1,8.2,8.2,36.0,19.44,MA,30,8,4,Blank (missing data),Blank (missing data)
C41955,11,2023-03-04,23694,2926640,Footwear,2,25.86,51.72,132.0,181.5,MA,35,10,1,Blank (missing data),Blank (missing data)
C41955,11,2023-10-03,77294,2961920,Women's Apparel,1,24.71,24.71,108.0,75.73,MA,35,10,1,Blank (missing data),Blank (missing data)
C41955,11,2023-12-08,80038,2961846,Gifts & Lifestyle,1,11.01,11.01,48.0,28.8,MA,35,10,1,Blank (missing data),Blank (missing data)
C41774,11,2023-03-04,23696,2929066,Women's Apparel,1,22.39,22.39,99.0,56.25,MA,60,9,2,5 Very Satisfied,3 Neutral
C41774,11,2023-01-21,65650,2899813,Childrens,1,7.76,7.76,40.5,7.5,MA,60,9,2,5 Very Satisfied,3 Neutral
C41774,12,2023-09-24,88837,2947566,Women's Apparel,1,25.18,25.18,108.0,45.0,MA,60,9,2,5 Very Satisfied,3 Neutral
C41774,12,2023-09-24,88844,2963508,Footwear,1,32.52,32.52,144.0,115.2,MA,60,9,2,5 Very Satisfied,3 Neutral
C41774,12,2023-10-08,89679,2943773,Men's Apparel,1,19.13,19.13,94.5,27.55,MA,60,9,2,5 Very Satisfied,3 Neutral
C41945,11,2023-03-11,23731,2932460,Footwear,1,31.02,31.02,132.0,90.0,MA,42,4,1,3 Neutral,4 Somewhat Satisfied
C41945,11,2023-05-11,69899,2929481,Women's Apparel,1,24.39,24.39,108.0,28.1,MA,42,4,1,3 Neutral,4 Somewhat Satisfied
C41945,13,2023-10-18,76486,2961865,Childrens,1,8.98,8.98,40.5,28.35,MA,42,4,1,3 Neutral,4 Somewhat Satisfied
C41945,13,2023-10-18,76486,2960152,Footwear,1,33.99,33.99,144.0,100.8,MA,42,4,1,3 Neutral,4 Somewhat Satisfied
C40290,11,2023-03-12,23760,2929416,Childrens,1,8.94,8.94,40.5,22.5,MA,58,12,0,Blank (missing data),Blank (missing data)
C40290,11,2023-08-10,74624,2948901,Women's Apparel,1,23.86,23.86,121.5,70.88,MA,58,12,0,Blank (missing data),Blank (missing data)
C40290,11,2023-08-10,74624,2938006,Men's Apparel,1,22.33,22.33,101.5,27.55,MA,58,12,0,Blank (missing data),Blank (missing data)
C40290,12,2023-03-19,77642,2917606,Footwear,1,28.08,28.08,132.0,41.97,MA,58,12,0,Blank (missing data),Blank (missing data)
C40290,12,2023-08-10,86517,2947696,Women's Apparel,1,21.64,21.64,99.0,79.42,MA,58,12,0,Blank (missing data),Blank (missing data)
C40290,12,2023-08-10,86517,2949307,Accessories,1,12.28,12.28,48.0,40.97,MA,58,12,0,Blank (missing data),Blank (missing data)
C41218,11,2023-03-19,23778,2932509,Accessories,1,10.92,10.92,50.0,43.2,CT,52,1,1,Blank (missing data),Blank (missing data)
C41218,14,2023-11-11,57604,2960111,Men's Apparel,1,23.36,23.36,105.0,70.0,CT,52,1,1,Blank (missing data),Blank (missing data)
C40413,11,2023-04-16,23870,2930052,Accessories,1,10.59,10.59,50.0,34.26,VT,25,7,0,4 Somewhat Satisfied,5 Very Satisfied
C40413,12,2023-04-25,79765,2943551,Women's Apparel,1,23.31,23.31,112.5,74.25,VT,25,7,0,4 Somewhat Satisfied,5 Very Satisfied
C40413,12,2023-07-29,85820,2963936,Men's Apparel,1,16.71,16.71,80.5,61.25,VT,25,7,0,4 Somewhat Satisfied,5 Very Satisfied
C41383,11,2023-04-23,23878,2936616,Accessories,1,11.33,11.33,48.0,48.0,MA,43,7,0,Blank (missing data),Blank (missing data)
C41383,14,2023-01-02,47338,2918532,Childrens,1,9.42,9.42,40.5,30.97,MA,43,7,0,Blank (missing data),Blank (missing data)
C41383,14,2023-01-02,47338,2918572,Women's Apparel,1,26.48,26.48,108.0,82.6,MA,43,7,0,Blank (missing data),Blank (missing data)
C41383,14,2023-09-23,56178,2966125,Women's Apparel,1,23.26,23.26,108.0,108.0,MA,43,7,0,Blank (missing data),Blank (missing data)
C41383,14,2023-09-23,56178,2942814,Childrens,1,8.31,8.31,36.0,15.0,MA,43,7,0,Blank (missing data),Blank (missing data)
C41757,11,2023-04-23,23881,2936483,Footwear,1,33.39,33.39,144.0,120.0,CT,49,6,0,5 Very Satisfied,4 Somewhat Satisfied
C41757,14,2023-04-29,50896,2936245,Accessories,1,10.79,10.79,48.0,30.0,CT,49,6,0,5 Very Satisfied,4 Somewhat Satisfied
C41757,12,2023-05-21,81466,2929067,Women's Apparel,1,22.39,22.39,99.0,25.29,CT,49,6,0,5 Very Satisfied,4 Somewhat Satisfied
C42337,11,2023-04-29,23925,2932459,Footwear,1,31.02,31.02,132.0,90.0,CT,34,12,1,Blank (missing data),Blank (missing data)
C42337,14,2023-05-17,51675,2936787,Women's Apparel,1,25.04,25.04,108.0,108.0,CT,34,12,1,Blank (missing data),Blank (missing data)
C42337,11,2023-09-11,76187,2959717,Men's Apparel,1,19.65,19.65,77.0,53.9,CT,34,12,1,Blank (missing data),Blank (missing data)
C41315,11,2023-04-29,23930,2939391,Footwear,1,30.45,30.45,132.0,90.0,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,12,2023-03-24,77887,2860206,Childrens,1,9.61,9.61,43.5,3.74,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,11,2023-11-30,79601,2966399,Gifts & Lifestyle,1,19.45,19.45,56.0,28.0,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,11,2023-11-30,79612,2970279,Women's Apparel,1,24.39,24.39,121.5,92.9,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,11,2023-11-30,79612,2972455,Accessories,1,11.23,11.23,50.0,36.71,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,11,2023-12-06,79946,2971023,Gifts & Lifestyle,1,12.61,12.61,54.0,32.4,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,12,2023-10-16,90239,2961871,Childrens,1,9.09,9.09,40.5,28.35,RI,25,2,0,Blank (missing data),Blank (missing data)
C41315,12,2023-11-24,92388,2963674,Footwear,1,36.93,36.93,162.0,81.0,RI,25,2,0,Blank (missing data),Blank (missing data)
C40100,11,2023-05-07,24002,2934332,Men's Apparel,1,25.69,25.69,101.5,90.53,VT,45,3,1,Blank (missing data),Blank (missing data)
C40100,13,2023-10-25,76706,2960133,Women's Apparel,1,28.6,28.6,108.0,108.0,VT,45,3,1,Blank (missing data),Blank (missing data)
C40100,12,2023-03-17,77490,2938293,Childrens,1,9.57,9.57,45.0,43.5,VT,45,3,1,Blank (missing data),Blank (missing data)
C40100,11,2023-11-26,79453,2966781,Childrens,1,9.2,9.2,42.0,20.25,VT,45,3,1,Blank (missing data),Blank (missing data)
C41241,11,2023-05-07,24014,2939197,Accessories,1,11.33,11.33,50.0,48.0,VT,27,12,0,Blank (missing data),Blank (missing data)
C41241,12,2023-06-23,83551,2938986,Accessories,1,11.57,11.57,48.0,28.8,VT,27,12,0,Blank (missing data),Blank (missing data)
C41506,11,2023-05-18,24073,2948106,Footwear,1,39.0,39.0,144.0,144.0,MA,46,2,3,Blank (missing data),Blank (missing data)
C41506,11,2023-11-24,25430,2966501,Women's Apparel,1,23.15,23.15,99.0,49.5,MA,46,2,3,Blank (missing data),Blank (missing data)
C41506,12,2023-04-03,78515,2930054,Accessories,1,10.59,10.59,50.0,30.97,MA,46,2,3,Blank (missing data),Blank (missing data)
C41437,11,2023-06-02,24175,2938863,Women's Apparel,1,26.35,26.35,108.0,98.48,NY,42,5,1,Blank (missing data),Blank (missing data)
C41437,12,2023-05-23,81551,2946218,Childrens,1,9.3,9.3,40.5,37.21,NY,42,5,1,Blank (missing data),Blank (missing data)
C40166,11,2023-06-02,24176,2938860,Women's Apparel,1,26.35,26.35,108.0,54.0,MA,60,2,3,Blank (missing data),Blank (missing data)
C40166,14,2023-10-08,56638,2960034,Women's Apparel,1,32.58,32.58,135.0,65.25,MA,60,2,3,Blank (missing data),Blank (missing data)
C40166,12,2023-03-15,77359,2929475,Women's Apparel,1,23.71,23.71,108.0,92.11,MA,60,2,3,Blank (missing data),Blank (missing data)
C40512,11,2023-06-03,24190,2936507,Women's Apparel,1,24.93,24.93,108.0,108.0,MA,41,9,2,Blank (missing data),Blank (missing data)
C40512,11,2023-07-13,73050,2946274,Childrens,1,9.06,9.06,45.0,12.26,MA,41,9,2,Blank (missing data),Blank (missing data)
C40512,12,2023-01-26,75633,2918582,Women's Apparel,1,27.16,27.16,121.5,91.12,MA,41,9,2,Blank (missing data),Blank (missing data)
C40512,12,2023-01-26,75633,2918532,Childrens,1,9.42,9.42,40.5,30.38,MA,41,9,2,Blank (missing data),Blank (missing data)
C40512,11,2023-11-19,79106,2982019,Women's Apparel,1,25.49,25.49,121.5,109.35,MA,41,9,2,Blank (missing data),Blank (missing data)
C40512,13,2023-12-12,79106,2964932,Footwear,1,37.83,37.83,162.0,97.2,MA,41,9,2,Blank (missing data),Blank (missing data)
C40145,11,2023-06-04,24210,2938862,Women's Apparel,1,26.35,26.35,108.0,97.2,MA,34,12,4,Blank (missing data),Blank (missing data)
C40145,12,2023-11-11,91685,2971379,Women's Apparel,1,24.28,24.28,108.0,25.56,MA,34,12,4,Blank (missing data),Blank (missing data)
C40145,12,2023-11-11,91685,2971368,Footwear,1,27.9,27.9,144.0,34.08,MA,34,12,4,Blank (missing data),Blank (missing data)
C41706,11,2023-06-04,24213,2934329,Men's Apparel,1,25.69,25.69,101.5,89.44,MA,38,2,2,Blank (missing data),Blank (missing data)
C41706,11,2023-12-21,81102,2961861,Childrens,1,8.98,8.98,40.5,18.75,MA,38,2,2,Blank (missing data),Blank (missing data)
C41706,12,2023-12-17,94599,2971013,Gifts & Lifestyle,1,12.61,12.61,54.0,32.4,MA,38,2,2,Blank (missing data),Blank (missing data)
C41330,11,2023-06-04,24214,2934338,Accessories,1,11.33,11.33,50.0,24.0,MA,35,8,3,Blank (missing data),Blank (missing data)
C40254,11,2023-06-04,24215,2932411,Childrens,1,9.57,9.57,43.5,43.5,MA,49,4,3,2 Somewhat Unsatisfied,5 Very Satisfied
C40254,12,2023-12-15,40190,2977003,Women's Apparel,1,24.74,24.74,108.0,64.8,MA,49,4,3,2 Somewhat Unsatisfied,5 Very Satisfied
C40254,12,2023-12-15,40190,2958567,Women's Apparel,1,22.84,22.84,108.0,28.1,MA,49,4,3,2 Somewhat Unsatisfied,5 Very Satisfied
C40254,14,2023-11-22,57944,2981228,Women's Apparel,1,24.71,24.71,108.0,45.99,MA,49,4,3,2 Somewhat Unsatisfied,5 Very Satisfied
C40254,14,2023-12-08,58609,2958039,Footwear,1,35.76,35.76,144.0,34.74,MA,49,4,3,2 Somewhat Unsatisfied,5 Very Satisfied
C40408,11,2023-06-04,24216,2938861,Women's Apparel,1,26.35,26.35,108.0,108.0,MA,58,9,1,5 Very Satisfied,3 Neutral
C40408,14,2023-08-19,55120,2938886,Women's Apparel,1,24.93,24.93,108.0,33.73,MA,58,9,1,5 Very Satisfied,3 Neutral
C40408,12,2023-09-30,89172,2936507,Women's Apparel,1,24.93,24.93,108.0,13.48,MA,58,9,1,5 Very Satisfied,3 Neutral
C40408,12,2023-09-30,89172,2869752,Women's Apparel,1,25.49,25.49,108.0,13.48,MA,58,9,1,5 Very Satisfied,3 Neutral
C40408,12,2023-12-03,93164,2958518,Women's Apparel,1,23.26,23.26,108.0,97.2,MA,58,9,1,5 Very Satisfied,3 Neutral
C41243,11,2023-06-08,24239,2875763,Accessories,1,10.75,10.75,48.0,33.6,MA,35,5,1,Blank (missing data),Blank (missing data)
C41243,12,2023-05-20,81347,2936608,Women's Apparel,1,25.04,25.04,108.0,108.0,MA,35,5,1,Blank (missing data),Blank (missing data)
C40174,11,2023-06-17,24294,2938709,Men's Apparel,1,15.52,15.52,77.0,59.39,MA,35,6,3,Blank (missing data),Blank (missing data)
C40174,14,2023-05-05,51146,2936485,Footwear,1,33.39,33.39,144.0,97.2,MA,35,6,3,Blank (missing data),Blank (missing data)
C40174,14,2023-05-05,51146,2936509,Women's Apparel,1,24.93,24.93,108.0,72.9,MA,35,6,3,Blank (missing data),Blank (missing data)
C40174,14,2023-08-31,55449,2938938,Men's Apparel,1,19.22,19.22,87.5,21.91,MA,35,6,3,Blank (missing data),Blank (missing data)
C40174,14,2023-08-31,55449,2936547,Women's Apparel,1,22.79,22.79,99.0,28.17,MA,35,6,3,Blank (missing data),Blank (missing data)
C40174,12,2023-09-26,88904,2958521,Women's Apparel,1,23.26,23.26,108.0,108.0,MA,35,6,3,Blank (missing data),Blank (missing data)
C41227,11,2023-06-29,24326,2943705,Men's Apparel,1,24.99,24.99,94.5,20.98,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,13,2023-06-06,70784,2943683,Men's Apparel,1,20.6,20.6,94.5,47.22,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,11,2023-09-12,76210,2971698,Footwear,1,31.26,31.26,144.0,90.72,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,11,2023-09-12,76210,2958990,Footwear,1,36.63,36.63,144.0,90.72,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,11,2023-09-12,76210,2941867,Footwear,1,30.15,30.15,132.0,47.22,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,12,2023-05-25,81700,2936576,Accessories,1,11.33,11.33,48.0,48.0,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,12,2023-05-25,81700,2835267,Childrens,1,9.23,9.23,40.5,3.74,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C41227,12,2023-05-25,81700,2939502,Childrens,1,9.57,9.57,43.5,40.28,MA,23,4,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C40114,11,2023-06-30,24344,2939028,Accessories,1,11.57,11.57,48.0,36.0,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,13,2023-01-09,65474,2860409,Childrens,1,9.98,9.98,43.5,3.74,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,13,2023-01-09,65474,2862916,Accessories,1,11.33,11.33,48.0,2.49,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,11,2023-04-22,68990,2936237,Accessories,1,10.79,10.79,48.0,30.6,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,11,2023-04-22,68990,2932509,Accessories,1,10.92,10.92,50.0,30.6,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,11,2023-04-22,68990,2936236,Accessories,1,10.79,10.79,48.0,40.8,MA,64,7,0,Blank (missing data),Blank (missing data)
C40114,11,2023-07-13,73053,2951934,Footwear,1,30.3,30.3,132.0,132.0,MA,64,7,0,Blank (missing data),Blank (missing data)
C41803,11,2023-07-09,24382,2956869,Women's Apparel,1,17.78,17.78,99.0,99.0,MA,30,3,0,Blank (missing data),Blank (missing data)
C41803,14,2023-08-12,54881,2948880,Women's Apparel,1,26.32,26.32,108.0,108.0,MA,30,3,0,Blank (missing data),Blank (missing data)
C41803,13,2023-12-02,78413,2963313,Women's Apparel,1,31.13,31.13,108.0,82.17,MA,30,3,0,Blank (missing data),Blank (missing data)
C41597,11,2023-07-13,24406,2942957,Women's Apparel,1,25.36,25.36,108.0,82.62,NY,46,7,0,Blank (missing data),Blank (missing data)
C41597,14,2023-09-28,56323,2948882,Women's Apparel,1,26.32,26.32,108.0,84.15,NY,46,7,0,Blank (missing data),Blank (missing data)
C41597,12,2023-11-13,91812,2958737,Accessories,1,12.07,12.07,56.0,50.76,NY,46,7,0,Blank (missing data),Blank (missing data)
C40014,11,2023-07-14,24420,2951935,Footwear,1,30.3,30.3,132.0,101.76,VT,45,2,3,4 Somewhat Satisfied,4 Somewhat Satisfied
C42143,11,2023-07-16,24434,2930526,Footwear,1,32.07,32.07,144.0,122.4,MA,25,3,1,Blank (missing data),Blank (missing data)
C40669,11,2023-08-04,24546,2952602,Men's Apparel,1,23.38,23.38,101.5,59.85,MA,24,12,3,Blank (missing data),Blank (missing data)
C40669,12,2023-12-08,93532,2962022,Footwear,1,33.09,33.09,162.0,46.47,MA,24,12,3,Blank (missing data),Blank (missing data)
C40614,11,2023-08-06,24566,2942310,Accessories,1,11.23,11.23,48.0,12.49,NY,75,10,1,5 Very Satisfied,4 Somewhat Satisfied
C40614,14,2023-12-06,58506,2960074,Women's Apparel,1,19.86,19.86,112.5,64.8,NY,75,10,1,5 Very Satisfied,4 Somewhat Satisfied
C40614,14,2023-12-06,58509,2963675,Footwear,1,36.93,36.93,162.0,97.2,NY,75,10,1,5 Very Satisfied,4 Somewhat Satisfied
C41362,11,2023-08-07,24584,2948853,Childrens,1,7.43,7.43,33.0,28.5,MA,40,11,5,Blank (missing data),Blank (missing data)
C41362,11,2023-10-07,77511,2958611,Women's Apparel,1,22.84,22.84,108.0,97.2,MA,40,11,5,Blank (missing data),Blank (missing data)
